ID;TarifID;DateStart;DateEnd;Value
1;1;2010-01-01 00:00:00;2010-12-31 00:00:00;1.6700
2;1;2011-01-01 00:00:00;2011-03-31 00:00:00;1.8400
3;4;2010-01-01 00:00:00;2010-12-31 00:00:00;1.1700
4;4;2011-01-01 00:00:00;2011-03-31 00:00:00;1.2900
5;2;2010-01-01 00:00:00;2010-12-31 00:00:00;1.6700
6;2;2011-01-01 00:00:00;2012-06-30 00:00:00;1.8400
7;3;2010-01-01 00:00:00;2010-12-31 00:00:00;0.8400
8;3;2011-01-01 00:00:00;2012-06-30 00:00:00;0.9200
9;5;2010-01-01 00:00:00;2010-12-31 00:00:00;1.1700
10;5;2011-01-01 00:00:00;2012-06-30 00:00:00;1.2900
11;6;2010-01-01 00:00:00;2010-12-31 00:00:00;0.5900
12;6;2011-01-01 00:00:00;2011-03-31 00:00:00;0.6500
13;7;2010-01-01 00:00:00;2010-12-31 00:00:00;1.1700
14;7;2011-01-01 00:00:00;2011-03-31 00:00:00;1.2900
15;8;2010-01-01 00:00:00;2010-12-31 00:00:00;1.1700
16;8;2008-01-01 00:00:00;2008-12-31 00:00:00;0.8300
17;9;2010-01-01 00:00:00;2010-12-31 00:00:00;0.5900
18;9;2011-01-01 00:00:00;2012-06-30 00:00:00;0.9200
19;10;2010-01-01 00:00:00;2010-12-31 00:00:00;1.6700
20;10;2011-01-01 00:00:00;2011-03-31 00:00:00;1.8400
21;11;2010-01-01 00:00:00;2010-12-31 00:00:00;1.6700
22;11;2011-01-01 00:00:00;2012-06-30 00:00:00;1.8400
23;12;2010-01-01 00:00:00;2010-12-31 00:00:00;0.8400
24;12;2011-01-01 00:00:00;2012-06-30 00:00:00;0.9200
26;1;2009-01-01 00:00:00;2009-12-31 00:00:00;1.5100
27;6;2011-04-01 00:00:00;2012-06-30 00:00:00;0.6400
28;1;2011-04-01 00:00:00;2012-06-30 00:00:00;1.8300
29;4;2011-04-01 00:00:00;2012-06-30 00:00:00;1.2800
30;27;2009-01-01 00:00:00;2009-12-31 00:00:00;1.0500
31;28;2009-01-01 00:00:00;2009-12-31 00:00:00;0.5300
